,var_name
1,avg_Atomic_Number
13,avg_metallic_valence
3,avg_Density_(g/mL)
39,range_metallic_valence
0,avg_1st_ionization_potential_(kJ/mol)
27,range_Molar_Denstiy_(mol/ml)
2,avg_Cohesive_energy
4,avg_Gordy_electonegativity
26,range_Mendele_Number
22,sum_valence_d
38,range_l_quantum_number
8,avg_gilmor_number_of_valence_electron
33,range_Pauling_Electronegativity
9,avg_heat_atomization(kJ/mol)
40,range_number_of_valence_electrons
36,range_heat_of_fusion_(kJ/mol)_
7,avg_Molar_Heat_Capacity(J/mol_K)
11,avg_heat_of_vaporization_(kJ/mol)_
43,range_valence_p
31,range_Number_of_unfilled_p_valence_electrons
35,range_heat_atomization(kJ/mol)
34,range_families
6,avg_Molar_Denstiy_(mol/ml)
25,range_Critical_Temperature
24,range_Atomic_Weight
32,range_Number_of_unfilled_s_valence_electrons
16,avg_thermal_conductivity_(W/(m_K))_
12,avg_l_quantum_number
14,avg_number_of_valence_electrons
28,range_Molar_Heat_Capacity(J/mol_K)
37,range_heat_of_vaporization_(kJ/mol)_
10,avg_heat_of_fusion_(kJ/mol)_
15,avg_polarizability(A^3)
42,range_valence_f
30,range_Number_of_unfilled_f_valence_electrons
41,range_valence_d
29,range_Number_of_unfilled_d_valence_electrons
5,avg_Mendele_Number
21,sum_metallic_valence
19,sum_Number_of_unfilled_s_valence_electrons
17,sum_Density_(g/mL)
20,sum_abs_valence
23,sum_valence_f
18,sum_Melting_point_(K)
